Data Analysis & Statistics,Learn how the economic decisions you and others make impact what you pay for things and how much you get paid.,Macroeconomic Principles,Arizona State University,,49.00 USD,https://www.edx.org/school/asux,None,ASUx+ECN211x
Communication,Improve your writing skills in this comprehensive introduction to English composition credit-eligible course.,English Composition,Arizona State University,,49.00 USD,https://www.edx.org/school/asux,None,ASUx+ENG101x
Communication,"Learn how to design, develop, research, and execute a writing project from inception to completion.",English Composition: Research and Writing,Arizona State University,,49.00 USD,https://www.edx.org/school/asux,None,ASUx+ENG102x
Food & Nutrition,"Explore current concepts in health, exercise, and wellness and learn how to shape your own personal health in this credit-eligible course.",Introduction to Health and Wellness,Arizona State University,,49.00 USD,https://www.edx.org/school/asux,None,ASUx+EXW100x
Education & Teacher Training,Learn how to build and grow a study abroad program at your US institution of higher education.,Study Abroad USA: Building Capacity for  US Institutions,Arizona State University,,49.00 USD,https://www.edx.org/school/asux,None,ASUx+GBL500x
Education & Teacher Training,.,How to Thrive Online: SCAP Pathway to Admission,Arizona State University,,0.00 USD,https://www.edx.org/school/asux,None,ASUx+GFA101x
Education & Teacher Training,Learn all you need to know about the Global Freshman Academy.,Welcome to the Global Freshman Academy,Arizona State University,,0.00 USD,https://www.edx.org/school/asux,None,ASUx+GFADemox
Humanities,Learn about the origins and development of Western societies and institutions.,Western Civilization: Ancient and Medieval Europe,Arizona State University,,49.00 USD,https://www.edx.org/school/asux,None,ASUx+HST102x
Math,Learn the basics of Algebra while preparing for future courses in Calculus through this credit-eligible college level math course.,College Algebra and Problem Solving,Arizona State University,,49.00 USD,https://www.edx.org/school/asux,None,ASUx+MAT117x
Social Sciences,Learn how sociology applies to your everyday life and helps you better communicate and understand people and your environment.,Introduction to Sociology,Arizona State University,,49.00 USD,https://www.edx.org/school/asux,None,ASUx+SOC101x
Business & Management,Learn the language of financial accounting and how to use financial statement information to better manage and grow your business.,Financial Accounting Made Fun:  Eliminating Your Fears,Babson College,,49.00 USD,https://www.edx.org/school/babsonx,None,BabsonX+BPET.ACCx
Business & Management,Uncover the secrets of thinking like an entrepreneur to create value for stakeholders and society.,The Entrepreneurial Mindset,Babson College,,49.00 USD,https://www.edx.org/school/babsonx,None,BabsonX+BPET.ETAx
Business & Management,Learn how to analyze business opportunities for their financial viability and secure funding to start and grow your business.,Financial Analysis for Decision Making,Babson College,,49.00 USD,https://www.edx.org/school/babsonx,None,BabsonX+BPET.FINx
Business & Management,Tackle the world of big data and learn to analyze various data types and quality to make smart business decisions.,Analytics for Decision Making,Babson College,,49.00 USD,https://www.edx.org/school/babsonx,None,BabsonX+BPET.STATx
Business & Management,Learn how technology is influencing today’s business environment and how to develop successful strategies.,Strategy & Business Models in a Digital World,Babson College,,49.00 USD,https://www.edx.org/school/babsonx,None,BabsonX+BPET.STRATx
Business & Management,Learn key marketing concepts to implement customer acquisition strategies to find the right customers and grow your business.,Marketing Fundamentals: Who Is Your Customer?,Babson College,,49.00 USD,https://www.edx.org/school/babsonx,None,BabsonX+BPET.MKTx
Literature,Explore the legendary city of Alexandria through the eyes of several literary artists.,Modern Literature of Alexandria,Bibliotheca Alexandrina,,25.00 USD,https://www.edx.org/school/bax,None,BAx+BAx4
Communication,An introduction to academic and business writing for English Language Learners.,Academic and Business Writing,Berkeley,,49.00 USD,https://www.edx.org/school/uc-berkeleyx,None,BerkeleyX+ColWri2.2x
Business & Management,"Understand the role of accountants in ensuring businesses operate effectively, efficiently and ethically.",Accountant in Business,ACCA,,89.00 USD,https://www.edx.org/school/acca,None,ACCA+FAB-F1.x
Business & Management,"Learn the underlying concepts of financial accounting, accounting techniques and the preparation of financial statements.",Financial Accounting,ACCA,,89.00 USD,https://www.edx.org/school/acca,None,ACCA+FFA-F3.x
Business & Management,"Learn management accounting techniques to support businesses to plan, control, monitor and enhance performance.",Management Accounting,ACCA,,89.00 USD,https://www.edx.org/school/acca,None,ACCA+FMA-F2.x
Physics,Explore the mysteries of exoplanets - planets around other stars – in this introductory astrophysics course.,Astrophysics: Exploring Exoplanets,Australian National University,,50.00 USD,https://www.edx.org/school/anux,None,ANUx+ANU-ASTRO2x
Physics,"Explore the deadliest places in the universe, from black holes to supernovae.",Astrophysics: The Violent Universe,Australian National University,,50.00 USD,https://www.edx.org/school/anux,None,ANUx+ANU-ASTRO3x
Physics,"Exploring the origin, fate and nature of our universe.",Astrophysics: Cosmology,Australian National University,,50.00 USD,https://www.edx.org/school/anux,None,ANUx+ANU-ASTRO4x
Business & Management,Learn how to make better managerial decisions through the judicious and strategic use of the best available evidence.,Evidence-Based Practice in Management,Australian National University,,149.00 USD,https://www.edx.org/school/anux,None,ANUx+EBM01x
Business & Management,Position your organization for success by learning how to evaluate research and evidence to identify and support key marketing strategies.,Evidence-Based Stakeholder Marketing,Australian National University,,149.00 USD,https://www.edx.org/school/anux,None,ANUx+EBM03x
Business & Management,Become a better manager by critically evaluating key management theories & concepts that form the foundation of modern management thinking.,Evidence-Based Management Foundations,Australian National University,,149.00 USD,https://www.edx.org/school/anux,None,ANUx+EBM04x
Business & Management,Recognize the value of your data and leverage information assets to achieve business objectives using evidence-based practices.,Evidence-Based Technology Management,Australian National University,,149.00 USD,https://www.edx.org/school/anux,None,ANUx+EBM06x
Math,"This college-level, credit-eligible Precalculus course will teach you the skills required for success in future Calculus studies.",Precalculus,Arizona State University,,49.00 USD,https://www.edx.org/school/asux,None,ASUx+MAT170x
Business & Management,Learn people management practices and human resource toolsets to build high-performing cross-cultural and global teams.,Managing People from a Global Perspective,Thunderbird School of Global Management,,249.00 USD,https://www.edx.org/school/thunderbirdx,None,ASUx+TGM540x
Communication,Learn how cultural differences impact business communication and enhance your international managerial communication skills.,Communicating in a Global Context,Thunderbird School of Global Management,,249.00 USD,https://www.edx.org/school/thunderbirdx,None,ASUx+TGM579x
Computer Science,Learn Software as a Service (SaaS) using Ruby on Rails.,Agile Development Using Ruby on Rails - The Basics,Berkeley,,99.00 USD,https://www.edx.org/school/uc-berkeleyx,None,BerkeleyX+CS169.1x
Math,.,Linear Differential Equations,Boston University,,49.00 USD,https://www.edx.org/school/bux,None,BUx+Math226.2x
Math,Learn the mathematical theory of nonlinear differential equations and their application to systems.,Nonlinear Differential Equations: Order and Chaos,Boston University,,49.00 USD,https://www.edx.org/school/bux,None,BUx+Math226.3x
None,None,delete,Arizona State University,,49.00 USD,https://www.edx.org/school/asux,None,ASUx+CSE110x
Computer Science,"Learn how to plan, develop and deliver on all aspects in the lifecycle of digital products using lean, agile and systems design thinking.","Product Management with Lean, Agile and System Design Thinking",Boston University,,200.00 USD,https://www.edx.org/school/bux,None,BUx+QD503x
Business & Management,Learn how to drive social media engagement by linking strategy and tactics and measuring results.,Social Media Marketing,Boston University,,200.00 USD,https://www.edx.org/school/bux,None,BUx+QD504x
Computer Science,"Learn how to drive business value through experimentation leveraging user feedback, team learning and modern object/service infrastructure.",Business Experimentation Through Digital Projects,Boston University,,200.00 USD,https://www.edx.org/school/bux,None,BUx+QD601x
Business & Management,Learn fundamental tools and techniques for using data towards making business decisions in the face of uncertainty.,"Data, Models and Decisions in Business Analytics",Columbia University,,375.00 USD,https://www.edx.org/school/columbiax,None,ColumbiaX+BAMM.102x
Business & Management,Develop quantitative models that leverage business data to forecast sales and support important marketing decisions.,Marketing Analytics,Columbia University,,375.00 USD,https://www.edx.org/school/columbiax,None,ColumbiaX+BAMM.104x
Computer Science,Master the essentials of machine learning and algorithms to help improve learning from data without human intervention.,Machine Learning,Columbia University,,300.00 USD,https://www.edx.org/school/columbiax,None,ColumbiaX+CSMM.102x
Computer Science,Learn the core techniques for representing robots that perform physical tasks in the real world.,Robotics,Columbia University,,300.00 USD,https://www.edx.org/school/columbiax,None,ColumbiaX+CSMM.103x
Computer Science,Learn the science behind movie animation from the Director of Columbia’s Computer Graphics Group.,Animation and CGI Motion,Columbia University,,300.00 USD,https://www.edx.org/school/columbiax,None,ColumbiaX+CSMM.104x
Humanities,"Discover why a critical understanding of development is paramount to addressing poverty, climate change and issues of social justice.",Human Rights and Development,Curtin University,,300.00 USD,https://www.edx.org/school/curtinx,None,CurtinX+HRIG2x
Humanities,"Learn about the role of social movements, advocacy groups and activism in bringing about social change.","Human Rights Activism, Advocacy and Change",Curtin University,,300.00 USD,https://www.edx.org/school/curtinx,None,CurtinX+HRIG3x
Communication,Learn how to analyse and apply consumer and buyer behaviour fundamentals to develop an effective marketing campaign.,Buyer Behaviour and Analysis,Curtin University,,199.00 USD,https://www.edx.org/school/curtinx,None,CurtinX+MKT3x
Communication,"Examine product/brand management decisions and investigate the strategies and tactics to build, measure and manage brand equity.",Strategic Brand Management,Curtin University,,199.00 USD,https://www.edx.org/school/curtinx,None,CurtinX+MKT4x
Communication,"Learn online marketing opportunities and how to use the Internet, social media, and digital analytics to successfully market your business.",Online Marketing Strategies,Curtin University,,199.00 USD,https://www.edx.org/school/curtinx,None,CurtinX+MKT5x
Design,.,Design Leadership and Innovation,Delft University of Technology (TU Delft),,250.00 USD,https://www.edx.org/school/delftx,None,DelftX+IDEMC.2x
Business & Management,"Develop the project management skills you need to handle complexity in engineering, infrastructure and other large projects.",Project Management: Mastering Complexity,Delft University of Technology (TU Delft),,295.00 USD,https://www.edx.org/school/delftx,None,DelftX+MEP201x
Business & Management,Convertirse en un líder exitoso al aprender habilidades de liderazgo del siglo 21 y aplicar conceptos en el mundo actual.,Entrenamiento de Liderazgo Inclusivo: Cómo Convertirse en un Líder Exitoso,Catalyst,,50.00 USD,https://www.edx.org/school/catalystx,None,CatalystX+IL-BSL.S1x
Communication,Develop practical communication skills to mend divides and build a more tolerant and inclusive world.,Communication Skills for Bridging Divides,Catalyst,,25.00 USD,https://www.edx.org/school/catalystx,None,CatalystX+ILDIV1x
Energy & Earth Sciences,.,Sensing Planet Earth – from Core to Outer Space,Chalmers University of Technology,,49.00 USD,https://www.edx.org/school/chalmersx,None,ChalmersX+ChM003x
Energy & Earth Sciences,.,Sensing Planet Earth – Water and Ice,Chalmers University of Technology,,49.00 USD,https://www.edx.org/school/chalmersx,None,ChalmersX+ChM004x
Business & Management,.,Master Control in Supply Chain Management and Logistics,Chalmers University of Technology,,49.00 USD,https://www.edx.org/school/chalmersx,None,ChalmersX+ChM006x
Education & Teacher Training,This interactive MOOC is designed to prepare K-12 educators to integrate technology through the use of a design-based process.,Innovating Instruction: Reimagining Teaching with Technology,Teachers College,,49.00 USD,https://www.edx.org/school/teacherscollegex,None,ColumbiaX+INNOVATE1x
Data Analysis & Statistics,.,Analytics for the Classroom Teacher (T3 2016),Curtin University,,49.00 USD,https://www.edx.org/school/curtinx,None,CurtinX+EDU1x
Environmental Studies,.,Environmental Studies: A Global Perspective,Curtin University,,49.00 USD,https://www.edx.org/school/curtinx,None,CurtinX+ENV1x
Communication,"Learn how to develop, manage and protect a company’s online reputation through social media.",Reputation Management in a Digital World (T3 2016),Curtin University,,99.00 USD,https://www.edx.org/school/curtinx,None,CurtinX+MKT2x
Business & Management,.,The Business Of Mining,Curtin University,,50.00 USD,https://www.edx.org/school/curtinx,None,CurtinX+TBOMx
Social Sciences,Upright walking is a hallmark of being human. Explore how this unusual form of locomotion evolved and why.,Bipedalism: The Science of Upright Walking,Dartmouth College,,49.00 USD,https://www.edx.org/school/dartmouthx,None,DartmouthX+DART.ANTH.01X
Art & Culture,Explore German Opera as we learn to listen to music in new ways.,Introduction to German Opera,Dartmouth College,,49.00 USD,https://www.edx.org/school/dartmouthx,None,DartmouthX+DART.MUS.02X
Math,Master the most difficult topics in your AP® Calculus AB & Calculus BC courses.,AP® Calculus: Challenging Concepts from Calculus AB & Calculus BC,Davidson Next,,49.00 USD,https://www.edx.org/school/davidson-next,None,DavidsonNext+Cal_APccx
Economics & Finance,Master the most challenging topics in your AP® Macroeconomics course.,AP® Macroeconomics: Challenging Concepts,Davidson Next,,49.00 USD,https://www.edx.org/school/davidson-next,None,DavidsonNext+Mac_APccx
Physics,Master the most difficult topics in your AP® Physics 2 course with help from experienced AP® Physics teachers.,AP® Physics 2: Challenging Concepts,Davidson Next,,49.00 USD,https://www.edx.org/school/davidson-next,None,DavidsonNext+Phy2_APccx
Physics,Master the most difficult topics in your AP® Physics 1 course with help from experienced AP® Physics teachers.,AP® Physics 1: Challenging Concepts,Davidson Next,,49.00 USD,https://www.edx.org/school/davidson-next,None,DavidsonNext+Phy_APccx
Business & Management,A toolbox for building a technology startup from idea to execution.,Entrepreneurship for Engineers,Delft University of Technology (TU Delft),,99.00 USD,https://www.edx.org/school/delftx,None,DelftWageningenX+TTE01x
Engineering,"Discover the fascinating world of aviation by investigating aeronautics, aerodynamics and flight mechanics.",Introduction to Aeronautical Engineering,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+AE1110x
Business & Management,Learn the value of business models and essential tools to help you develop a sound business model for sustainable success.,The Value of Business Models,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+BMI.1x
Business & Management,Learn how to stress test your business model to help you anticipate change and harness your business model’s success.,Business Model Testing,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+BMI.3x
Business & Management,Learn advanced business model tools and metrics to help you achieve an agile business model.,Business Model Metrics and Advanced Tools,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+BMI.5x
Math,.,Pre-University Calculus,Delft University of Technology (TU Delft),,50.00 USD,https://www.edx.org/school/delftx,None,DelftX+Calc001x
Business & Management,.,Circular Economy: an Introduction,Delft University of Technology (TU Delft),,50.00 USD,https://www.edx.org/school/delftx,None,Delftx+CircularX
Business & Management,Learn the essentials of design practice for developing new business opportunities and sparking innovation.,Design Practice in Business,Delft University of Technology (TU Delft),,50.00 USD,https://www.edx.org/school/delftx,None,DelftX+DPB001x
Business & Management,"Develop your ability to lead, innovate, negotiate and manage in a fast moving digital economy.",Leading in the Digital Age,Boston University,,200.00 USD,https://www.edx.org/school/bux,None,BUx+QD502x
Business & Management,"Learn how to design, launch, monetize and compete in a networked platform market.",Platform Strategy for Business,Boston University,,200.00 USD,https://www.edx.org/school/bux,None,BUx+QD505x
Business & Management,Learn the fundamental of programming in Python and develop the ability to analyze data and make data-driven decisions.,Analytics in Python,Columbia University,,375.00 USD,https://www.edx.org/school/columbiax,None,ColumbiaX+BAMM.101x
Business & Management,Learn how to use data to develop insights and predictive capabilities to make better business decisions.,Business Analytics for Decision Making,Columbia University,,375.00 USD,https://www.edx.org/school/columbiax,None,ColumbiaX+BAMM.103x
Humanities,"Learn how women's work has changed the home, the workplace, and the nation from the Colonial Period through World War I.",Women Have Always Worked: The U.S. Experience 1700 - 1920,Columbia University,,50.00 USD,https://www.edx.org/school/columbiax,None,ColumbiaX+WHAW1.1x
Engineering,Learn how to analyze real-world engineering problems using ANSYS simulation software.,A Hands-on Introduction to Engineering Simulations,Cornell University,,49.00 USD,https://www.edx.org/school/cornellx,None,CornellX+ENGR2000X
Humanities,.,The American Renaissance,Dartmouth College,,50.00 USD,https://www.edx.org/school/dartmouthx,None,DartmouthX+DART.ENGL.01.x
Business & Management,"Learn key components of the retail business, including forecasting, inventory management, product assortment planning and pricing.",Retail Fundamentals,Dartmouth College,,99.00 USD,https://www.edx.org/school/dartmouthx,None,DartmouthX+RFundX
Medicine,"Learn key genomics concepts and how they influence health and health care. Physicians, Physician Assistants and...",Medical Genomics 101,Davidson College,,0.00 USD,https://www.edx.org/school/davidsonx,None,DavidsonX+MedGen101x
Engineering,"Learn about urban water services, focusing on basic sewage treatment technologies.",Treatment of Urban Sewage,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+CTB3365STx
Business & Management,Learn the key strategies used by project managers to generate crucial funding for their projects.,Project Finance: Funding Projects Successfully,Delft University of Technology (TU Delft),,295.00 USD,https://www.edx.org/school/delftx,None,DelftX+MEP301x
Engineering,Understand how solar cells generate electricity. Learn about semiconductor physics & optics required to design & manufacture solar cells.,Solar Energy Engineering: Photovoltaic Energy Conversion,Delft University of Technology (TU Delft),,250.00 USD,https://www.edx.org/school/delftx,None,DelftX+PV1x
Engineering,Explore the wide range of solar energy applications and learn to design a real PV installation with excellent performance and reliability.,Solar Energy Engineering: Photovoltaic Systems,Delft University of Technology (TU Delft),,250.00 USD,https://www.edx.org/school/delftx,None,DelftX+PV3x
Engineering,.,Electrotechnique II,École polytechnique fédérale de Lausanne,,50.00 USD,https://www.edx.org/school/epflx,None,EPFLx+EE-102B.1x
Engineering,.,Fundamentals of Biomedical Imaging : Magnetic Resonance Imaging (MRI),École polytechnique fédérale de Lausanne,,49.00 USD,https://www.edx.org/school/epflx,None,EPFLx+FndBioImg2x
Engineering,.,"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",École polytechnique fédérale de Lausanne,,49.00 USD,https://www.edx.org/school/epflx,None,EPFLx+FndBioImgx
Social Sciences,.,Sustainable Urban Development: Discover Advanced Metropolitan Solutions,Delft University of Technology (TU Delft),,50.00 USD,https://www.edx.org/school/delftx,None,DelftWageningenX+AMS.URB.1x
Business & Management,Learn how to create value for your customers and grow your business by designing a successful and sustainable business model.,How to Design a Successful Business Model,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+BMI.2x
Business & Management,Learn how to successfully implement a new business model by creating a practical action plan and roadmap.,Business Model Implementation,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+BMI.4x
Business & Management,Learn practical marketing strategies and tools that enable enterprises to stand out in a competitive marketplace.,Introduction to Marketing: Tools to Set Enterprises Apart,The University of Edinburgh,,49.00 USD,https://www.edx.org/school/edinburghx,None,EdinburghX+MKTG101x
Computer Science,A fun and interactive course designed to help you explore the edX learning experience.,DemoX,edX,,0.00 USD,https://www.edx.org/school/edx,None,edX+DemoX.1
Education & Teacher Training,A quick course designed to help you explore all of the different steps that go into planning and building an edX course.,Overview of Creating an edX Course,edX,,25.00 USD,https://www.edx.org/school/edx,None,edX+edX101
Education & Teacher Training,Learn the fundamentals of creating courses on the edX platform using edX Studio.,Creating a Course with Studio,edX,,25.00 USD,https://www.edx.org/school/edx,None,edX+StudioX
Math,.,Algèbre Linéaire (Partie 2),École polytechnique fédérale de Lausanne,,49.00 USD,https://www.edx.org/school/epflx,None,EPFLx+Algebre2X
Engineering,.,Electrotechnique I,École polytechnique fédérale de Lausanne,,50.00 USD,https://www.edx.org/school/epflx,None,EPFLx+EE-100Bx
Engineering,Introduction à l’électronique analogique- seconde partie. Fonctions linéaires de base réalisée à l’aide de transistor bipolaire.,Electronique II,École polytechnique fédérale de Lausanne,,50.00 USD,https://www.edx.org/school/epflx,None,EPFLx+Electroni2X
Computer Science,"Learn MATLAB and Octave and start experimenting with matrix manipulations, data visualizations, functions and mathematical computations.",MATLAB and Octave for beginners,École polytechnique fédérale de Lausanne,,50.00 USD,https://www.edx.org/school/epflx,None,EPFLx+MatlabeOctaveBeginnersX
Physics,Learn about the physical phenomena at play in astronomical objects and link theoretical predictions to observations.,Introduction to Astrophysics,École polytechnique fédérale de Lausanne,,50.00 USD,https://www.edx.org/school/epflx,None,EPFLx+PHYS-209-ENx
Architecture,"Understand a city’s people, components, functions, scales and dynamics, as precondition for its sustainable design and management.",Future Cities,ETH Zurich,,50.00 USD,https://www.edx.org/school/ethx,None,ETHx+FC-01x
Architecture,.,Livable Future Cities,ETH Zurich,,50.00 USD,https://www.edx.org/school/ethx,None,ETHx+FC-02x
Business & Management,Get the job you want with compelling resume writing and focused interview preparation.,"Resume, Networking, and Interview Skills",Fullbridge,,60.00 USD,https://www.edx.org/school/fullbridgex,None,FullbridgeX+Career5x
Business & Management,"¿Estás en búsqueda de crecer? ¿Tienes un negocio rentable? o ¿estás cómodo en tu trabajo? Nos alegramos por ti, pero eso ya no es suficiente",Diseño de Estrategias Exitosas y Acciones Incontenibles,Galileo University,,50.00 USD,https://www.edx.org/school/galileox,None,GalileoX+CNeg001Rx
Humanities,"Explore some of the most difficult - and fascinating - moral challenges we face in health, medicine, and emerging technologies.",Introduction to Bioethics,Georgetown University,,50.00 USD,https://www.edx.org/school/georgetownx,None,GeorgetownX+PHLX-101x
Math,Learn the fundamental notions of quantum mechanics at a level that is accessible to everyone.,Quantum Mechanics for Everyone,Georgetown University,,49.00 USD,https://www.edx.org/school/georgetownx,None,GeorgetownX+PHYX-008-01x
Computer Science,Learn the basics of computing and python programming.,Introduction to Computing using Python,The Georgia Institute of Technology,,99.00 USD,https://www.edx.org/school/gtx,None,GTx+CS1301x
Art & Culture,"Learn fundamental principles of architecture, as an academic subject or a professional career, by studying history’s important buildings.",The Architectural Imagination,Harvard University,,99.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+GSD1x
Communication,Explore and understand your own theories of learning and leadership. Gain the tools to imagine and build the future of learning.,Leaders of Learning,Harvard University,,99.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+GSE2x
Engineering,Learn the science and technology behind nuclear energy and the special features of this energy source.,Understanding Nuclear Energy,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+NUCLEAR01x
Business & Management,.,Open Government,Delft University of Technology (TU Delft),,50.00 USD,https://www.edx.org/school/delftx,None,DelftX+OG101x
Physics,.,Topology in Condensed Matter: Tying Quantum Knots,Delft University of Technology (TU Delft),,50.00 USD,https://www.edx.org/school/delftx,None,DelftX+TOPOCMx
Medicine,.,Cellular mechanisms of brain function,École polytechnique fédérale de Lausanne,,50.00 USD,https://www.edx.org/school/epflx,None,EPFLx+BrainX
Computer Science,.,"Nature, in Code: Biology in JavaScript",École polytechnique fédérale de Lausanne,,49.00 USD,https://www.edx.org/school/epflx,None,EPFLx+NiC1.0x
Business & Management,Learn to design meaningful products and services in this introductory design course.,Product Design: The Delft Design Approach,Delft University of Technology (TU Delft),,50.00 USD,https://www.edx.org/school/delftx,None,DelftX+DDA691x
Engineering,"Learn how to make the transition to 100% renewable energy from wind, solar and biomass for electricity, heat and fuels.",Sustainable Energy: Design a Renewable Future,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+EnergyX
Computer Science,.,Data Analysis: Visualization and Dashboard Design,Delft University of Technology (TU Delft),,70.00 USD,https://www.edx.org/school/delftx,None,DelftX+EX102
Business & Management,"Learn the latest in Digital Manufacturing, a disruptive technology for product realization rapidly changing the world of industrial design.",Digital Manufacturing for Industrial Design,Delft University of Technology (TU Delft),,250.00 USD,https://www.edx.org/school/delftx,None,DelftX+IDEMC.3x
Business & Management,.,Leadership for Engineers,Delft University of Technology (TU Delft),,50.00 USD,https://www.edx.org/school/delftx,None,DelftX+LfE101x
Computer Science,Use mathematics to create models to solve real-life problems.,Mathematical Modelling Basics,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+MathMod1x
Business & Management,Create your own project plan and learn the importance of the early project phases in achieving project success. People are key!,Project Management of Engineering Projects: Preparing for Success!,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+MEP101x
Engineering,Learn how to tackle complex mass and heat transfer problems and apply the results in your own environment.,Advanced Transport Phenomena,Delft University of Technology (TU Delft),,49.00 USD,https://www.edx.org/school/delftx,None,DelftX+TP102x
Education & Teacher Training,Explore ways to blend educational technology with traditional classroom learning to improve educational outcomes.,Blended Learning with edX,edX,,25.00 USD,https://www.edx.org/school/edx,None,edX+BlendedX
Chemistry,.,Basic Steps in Magnetic Resonance,École polytechnique fédérale de Lausanne,,0.00 USD,https://www.edx.org/school/epflx,None,EPFLx+NMR101x
Computer Science,"A hands-on introduction to basic programming principles and practice relevant to modern data analysis, data mining, and machine learning.",Computing for Data Analysis: Methods and Tools,The Georgia Institute of Technology,,0.00 USD,https://www.edx.org/school/gtx,None,GTx+CSE6040x
Data Analysis & Statistics,"Learn essential analytics models and methods and how to appropriately apply them, using tools such as R, to retrieve desired insights.",GT Introduction to Analytics Modeling,The Georgia Institute of Technology,,500.00 USD,https://www.edx.org/school/gtx,None,GTx+ISYE6501x
Computer Science,"Learn the core of quantum mechanics, and program simulations in Python to apply quantum theory to chemistry.",The Quantum World,Harvard University,,199.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+CHEM160
Data Analysis & Statistics,A focus on several techniques that are widely used in the analysis of high-dimensional data.,High-Dimensional Data Analysis,Harvard University,,50.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+PH525.4x
Data Analysis & Statistics,.,High-performance Computing for Reproducible Genomics,Harvard University,,50.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+PH525.6x
Data Analysis & Statistics,"Explore data analysis of several experimental protocols, using open source software, including R and Bioconductor.",Case Studies in Functional Genomics,Harvard University,,50.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+PH525.7x
Computer Science,.,Information and Communication Technology (ICT) Accessibility,The Georgia Institute of Technology,,49.00 USD,https://www.edx.org/school/gtx,None,GTx+ICT100x
Humanities,.,Justice,Harvard University,,99.00 USD,https://www.edx.org/school/harvardx,None,HarvardX+ER22.1x
